pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4f9p	D	D	0	B	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	05/19/12	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the 103.2 Single Chain Antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	NA	homo sapiens	Palakodeti, A., Sandstrom, A., Sundaresan, L., Harly, C., Nedellec, S., Olive, D., Scotet, E., Bonneville, M., Adams, E.J.	3.519	X-RAY DIFFRACTION	0.408	0.373	True	True	unknown	unknown	unknown	1.5000000000000002e-08	-10.67372125591851	SPR	NA	TBD
4f9p	C	C	0	A	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	05/19/12	Crystal Structure of the Human BTN3A1 Ectodomain in Complex with the 103.2 Single Chain Antibody	HOMO SAPIENS; MUS MUSCULUS	mus musculus	NA	homo sapiens	Palakodeti, A., Sandstrom, A., Sundaresan, L., Harly, C., Nedellec, S., Olive, D., Scotet, E., Bonneville, M., Adams, E.J.	3.519	X-RAY DIFFRACTION	0.408	0.373	True	True	unknown	unknown	unknown	1.5000000000000002e-08	-10.67372125591851	SPR	NA	TBD
6a67	C	D	0	B	protein	NA	hemagglutinin	IMMUNE SYSTEM	06/26/18	Crystal structure of influenza A virus H5 hemagglutinin globular head in complex with the Fab of antibody FLD21.140	HOMO SAPIENS; INFLUENZA A VIRUS (A/THAILAND/1(KAN-1)/2004(H5N1))	homo sapiens	homo sapiens	influenza a virus (a/thailand/1(kan-1)/2004(h5n1)) 	Wang, P., Zuo, Y., Sun, J., Zhang, L., Wang, X.	2.33	X-RAY DIFFRACTION	0.235	0.197	False	True	IGHV4	IGLV1	Lambda	1.004e-09	-12.275831597239875	SPR	NA	TBD
6a67	H	L	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM	06/26/18	Crystal structure of influenza A virus H5 hemagglutinin globular head in complex with the Fab of antibody FLD21.140	HOMO SAPIENS; INFLUENZA A VIRUS (A/THAILAND/1(KAN-1)/2004(H5N1))	homo sapiens	homo sapiens	influenza a virus (a/thailand/1(kan-1)/2004(h5n1)) 	Wang, P., Zuo, Y., Sun, J., Zhang, L., Wang, X.	2.33	X-RAY DIFFRACTION	0.235	0.197	False	True	IGHV4	IGLV1	Lambda	1.004e-09	-12.275831597239875	SPR	NA	TBD
3rvw	D	C	0	A	protein	NA	peptidase 1	Hydrolase/IMMUNE SYSTEM	05/06/11	Crystal structure of Der p 1 complexed with Fab 4C1	MUS MUSCULUS; DERMATOPHAGOIDES PTERONYSSINUS	mus musculus	mus musculus	dermatophagoides pteronyssinus	Chruszcz, M., Vailes, L.D., Chapman, M.D., Pomes, A., Minor, W.	1.95	X-RAY DIFFRACTION	0.19899999999999998	0.156	False	True	IGHV3	IGKV14	Kappa	1.8999999999999998e-08	-10.533664762780313	ITC	NA	TBD
3rvv	D	C	0	A	protein	NA	peptidase 1	Hydrolase/IMMUNE SYSTEM	05/06/11	Crystal structure of Der f 1 complexed with Fab 4C1	MUS MUSCULUS; DERMATOPHAGOIDES FARINAE	mus musculus	mus musculus	dermatophagoides farinae	Chruszcz, M., Vailes, L.D., Chapman, M.D., Pomes, A., Minor, W.	1.9	X-RAY DIFFRACTION	0.196	0.15	False	True	IGHV3	IGKV14	Kappa	1.7e-08	-10.599564136380756	ITC	NA	TBD
3a6b	H	L	0	Y	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	08/28/09	Crystal Structure of HyHEL-10 Fv mutant LN32D complexed with hen egg white lysozyme	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Yokota, A., Tsumoto, K., Shiroishi, M., Nakanishi, T., Kondo, H., Kumagai, I.	1.8	X-RAY DIFFRACTION	0.222	0.19399999999999998	False	True	IGHV3	IGKV5	Kappa	1.08e-07	-9.63	ITC	30	20038580
3a67	H	L	0	Y	protein	NA	lysozyme c	IMMUNE SYSTEM/HYDROLASE	08/24/09	Crystal Structure of HyHEL-10 Fv mutant LN31D complexed with hen egg white lysozyme	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Yokota, A., Tsumoto, K., Shiroishi, M., Nakanishi, T., Kondo, H., Kumagai, I.	1.8	X-RAY DIFFRACTION	0.225	0.18899999999999997	False	True	IGHV3	IGKV5	Kappa	5.62e-09	-11.44	ITC	30	20038580
4fqy	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody CR9114 bound to H3 influenza hemagglutinin	HOMO SAPIENS; INFLUENZA A VIRUS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Ekiert, D.C., Dreyfus, C., Wilson, I.A.	5.252999999999999	X-RAY DIFFRACTION	0.374	0.366	False	True	IGHV1	IGLV1	Lambda	2.2000000000000003e-09	-11.81104868630058	TBD	BLI	NA
4fqv	J	N	0	D | C	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody CR9114 bound to H7 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Ekiert, D.C., Dreyfus, C., Wilson, I.A.	5.75	X-RAY DIFFRACTION	0.33899999999999997	0.314	False	True	IGHV1	IGLV1	Lambda	1.1000000000000001e-09	-12.22172707862036	TBD	BLI	NA
4fqv	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody CR9114 bound to H7 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Ekiert, D.C., Dreyfus, C., Wilson, I.A.	5.75	X-RAY DIFFRACTION	0.33899999999999997	0.314	False	True	IGHV1	IGLV1	Lambda	1.1000000000000001e-09	-12.22172707862036	TBD	BLI	NA
4fqv	I	M	0	F | E	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody CR9114 bound to H7 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Ekiert, D.C., Dreyfus, C., Wilson, I.A.	5.75	X-RAY DIFFRACTION	0.33899999999999997	0.314	False	True	IGHV1	IGLV1	Lambda	1.1000000000000001e-09	-12.22172707862036	TBD	BLI	NA
4fqi	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal Structure of Fab CR9114 in Complex with a H5N1 influenza virus hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Dreyfus, C., Wilson, I.A.	1.71	X-RAY DIFFRACTION	0.23199999999999998	0.198	False	True	IGHV1	IGLV1	Lambda	9e-10	-12.340621190735936	TBD	BLI	NA
4fqj	H	L	0	A	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Influenza B/Florida/4/2006 hemagglutinin Fab CR8071 complex	INFLUENZA B VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza b virus	Dreyfus, C., Laursen, N.S., Wilson, I.A.	2.5	X-RAY DIFFRACTION	0.265	0.23	False	True	IGHV1	IGLV1	Lambda	9.000000000000001e-10	-12.340621190735936	BLI	NA	TBD
5czx	H	L	0	A	protein	NA	neurogenic locus notch homolog protein 3	IMMUNE SYSTEM	08/01/15	Crystal structure of Notch3 NRR in complex with 20358 Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hu, T., Fryer, C., Chopra, R., Clark, K.	2.1	X-RAY DIFFRACTION	0.226	0.19	False	False	IGHV1	IGKV1	Kappa	6e-10	-12.580852650099459	SPR	NA	TBD
5czx	C	D	0	B	protein	NA	neurogenic locus notch homolog protein 3	IMMUNE SYSTEM	08/01/15	Crystal structure of Notch3 NRR in complex with 20358 Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hu, T., Fryer, C., Chopra, R., Clark, K.	2.1	X-RAY DIFFRACTION	0.226	0.19	False	False	IGHV1	IGKV1	Kappa	6e-10	-12.580852650099459	SPR	NA	TBD
5czv	H	L	0	A	protein	NA	neurogenic locus notch homolog protein 3	IMMUNE SYSTEM	08/01/15	Crystal structure of Notch3 NRR in complex with 20350 Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hu, T., Fryer, C., Chopra, R., Clark, K.	3.19	X-RAY DIFFRACTION	0.257	0.204	False	True	IGHV1	IGKV1	Kappa	3e-10	-12.991531042419238	SPR	NA	TBD
5ip4	A	NA	0	E	protein	NA	neuronal migration protein doublecortin	TRANSFERASE	03/09/16	X-RAY STRUCTURE OF THE C-TERMINAL DOMAIN OF HUMAN DOUBLECORTIN	LAMA GLAMA; HOMO SAPIENS	lama glama	NA	homo sapiens	Ruf, A., Benz, J., Burger, D., D'Arcy, B., Debulpaep, M., Di Lello, P., Fry, D., Huber, W., Kremer, T., Laeremans, T., Matile, H., Ross, A., Rudolph, M.G., Rufer, A.C., Sharma, A., Steinmetz, M.O., Steyaert, J., Schoch, G., Stihle, M., Thoma, R.	1.81	X-RAY DIFFRACTION	0.246	0.194	False	True	IGHV1	NA	NA	4.51e-07	-8.657252145183932	SPR	NA	TBD
5ip4	B	NA	0	D	protein	NA	neuronal migration protein doublecortin	TRANSFERASE	03/09/16	X-RAY STRUCTURE OF THE C-TERMINAL DOMAIN OF HUMAN DOUBLECORTIN	LAMA GLAMA; HOMO SAPIENS	lama glama	NA	homo sapiens	Ruf, A., Benz, J., Burger, D., D'Arcy, B., Debulpaep, M., Di Lello, P., Fry, D., Huber, W., Kremer, T., Laeremans, T., Matile, H., Ross, A., Rudolph, M.G., Rufer, A.C., Sharma, A., Steinmetz, M.O., Steyaert, J., Schoch, G., Stihle, M., Thoma, R.	1.81	X-RAY DIFFRACTION	0.246	0.194	False	True	IGHV1	NA	NA	4.51e-07	-8.657252145183932	SPR	NA	TBD
4kv5	J	I	0	B	protein	NA	transforming growth factor beta-1	immune system	05/22/13	scFv GC1009 in complex with TGF-beta1.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wei, R., Moulin, A.G., Mathieu, M.	3.0	X-RAY DIFFRACTION	0.3	0.229	False	True	IGHV1	IGKV3	Kappa	1.7000000000000001e-09	-11.963808225791011	SPR	NA	TBD
4kv5	G	K	0	D	protein	NA	transforming growth factor beta-1	immune system	05/22/13	scFv GC1009 in complex with TGF-beta1.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wei, R., Moulin, A.G., Mathieu, M.	3.0	X-RAY DIFFRACTION	0.3	0.229	False	True	IGHV1	IGKV3	Kappa	1.7000000000000001e-09	-11.963808225791011	SPR	NA	TBD
4kv5	H	L	0	A	protein	NA	transforming growth factor beta-1	immune system	05/22/13	scFv GC1009 in complex with TGF-beta1.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wei, R., Moulin, A.G., Mathieu, M.	3.0	X-RAY DIFFRACTION	0.3	0.229	False	True	IGHV1	IGKV3	Kappa	1.7000000000000001e-09	-11.963808225791011	SPR	NA	TBD
4kv5	E	F	0	C	protein	NA	transforming growth factor beta-1	immune system	05/22/13	scFv GC1009 in complex with TGF-beta1.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wei, R., Moulin, A.G., Mathieu, M.	3.0	X-RAY DIFFRACTION	0.3	0.229	False	True	IGHV1	IGKV3	Kappa	1.7000000000000001e-09	-11.963808225791011	SPR	NA	TBD
5te6	H	L	0	G	protein	NA	clade a/e 93th057 hiv-1 gp120 core	IMMUNE SYSTEM	09/20/16	Crystal Structure of Broadly Neutralizing VRC01-class Antibody N6 in Complex with HIV-1 Clade AE Strain 93TH057 gp120 Core	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.4	X-RAY DIFFRACTION	0.278	0.22699999999999998	False	True	unknown	unknown	unknown	2.59e-09	-11.714355044389787	SPR	NA	TBD
1e6j	H	L	0	P	protein	NA	capsid protein p24	VIRAL PROTEIN	08/18/00	Crystal structure of HIV-1 capsid protein (p24) in complex with Fab13B5	HIV-1 M:B_HXB2R; MUS MUSCULUS	mus musculus	mus musculus	human immunodeficiency virus type 1(clone 12) 	Berthet-Colominas, C., Monaco, S., Novelli, A., Sibai, G., Mallet, F., Cusack, S.	3.0	X-RAY DIFFRACTION	0.284	0.21	False	False	IGHV1	IGKV4	Kappa	2.90e-08	-10.28	SPR	NA	11080628
2ypv	H	L	0	A	protein	NA	lipoprotein	IMMUNE SYSTEM	11/01/12	Crystal structure of the Meningococcal vaccine antigen factor H  binding protein in complex with a bactericidal antibody	NEISSERIA MENINGITIDIS MC58; MUS MUSCULUS	mus musculus	mus musculus	neisseria meningitidis mc58	Malito, E., Veggi, D., Bottomley, M.J.	1.8	X-RAY DIFFRACTION	0.2246	0.1812	False	False	IGHV1	IGKV14	Kappa	3e-11	-14.355775131829494	SPR	NA	TBD
4z5r	W	V	0	F	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	Z	Y	0	X	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	K	J	0	D	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	B	A	0	N	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	M	L	0	E	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	U	T	0	I	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	Q	P	0	G	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
4z5r	S	R	0	H	protein	NA	interferon alpha-2	Cytokine/Immune System	04/02/15	Rontalizumab Fab bound to Interferon-a2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Eigenbrot, C., Maurer, B., Bosanac, I.	3.0	X-RAY DIFFRACTION	0.251	0.223	False	True	IGHV3	IGKV1	Kappa	1.8e-11	-14.658430977236662	SPR	NA	TBD
2w9e	H	L	0	A	protein	NA	major prion protein	IMMUNE SYSTEM	01/23/09	Structure of ICSM 18 (anti-Prp therapeutic antibody) Fab fragment  complexed with human Prp fragment 119-231	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Antonyuk, S.V., Trevitt, C.R., Strange, R.W., Jackson, G.S., Sangar, D., Batchelor, M., Jones, S., Georgiou, T., Cooper, S., Fraser, C., Khalili-Shirazi, A., Clarke, A.R., Hasnain, S.S., Collinge, J.	2.9	X-RAY DIFFRACTION	0.26899999999999996	0.207	False	False	IGHV1	IGKV4	Kappa	1.00e-10	-13.63	Other	NA	19204296
4x7e	C	NA	0	A	protein	NA	capsid protein	VIRAL PROTEIN	12/09/14	Crystal structure of norovirus GII.10 P domain in complex with Nano-85	NORWALK VIRUS; VICUGNA PACOS	vicugna pacos	NA	norwalk virus	Hansman, G.H., Koromyslova, A.D.	2.11	X-RAY DIFFRACTION	0.218	0.189	False	True	IGHV1	NA	NA	7.000000000000001e-09	-11.125276798630649	ITC	NA	TBD
4x7e	D	NA	0	B	protein	NA	capsid protein	VIRAL PROTEIN	12/09/14	Crystal structure of norovirus GII.10 P domain in complex with Nano-85	NORWALK VIRUS; VICUGNA PACOS	vicugna pacos	NA	norwalk virus	Hansman, G.H., Koromyslova, A.D.	2.11	X-RAY DIFFRACTION	0.218	0.189	False	True	IGHV1	NA	NA	7.000000000000001e-09	-11.125276798630649	ITC	NA	TBD
4x7d	C	NA	0	B	protein	NA	vp1	VIRAL PROTEIN	12/09/14	Crystal structure of 2012 NSW GII.4 P domain in complex with Nano-85	NOROVIRUS HU/GII.4/SYDNEY/NSW0514/2012/AU; LAMA GLAMA	lama glama	NA	norovirus hu/gii.4/sydney/nsw0514/2012/au	Koromyslova, A.D., Hansman, G.S.	2.15	X-RAY DIFFRACTION	0.238	0.196	False	True	IGHV1	NA	NA	3.5000000000000003e-09	-11.535955190950428	ITC	NA	TBD
4x7d	D	NA	0	A	protein	NA	vp1	VIRAL PROTEIN	12/09/14	Crystal structure of 2012 NSW GII.4 P domain in complex with Nano-85	NOROVIRUS HU/GII.4/SYDNEY/NSW0514/2012/AU; LAMA GLAMA	lama glama	NA	norovirus hu/gii.4/sydney/nsw0514/2012/au	Koromyslova, A.D., Hansman, G.S.	2.15	X-RAY DIFFRACTION	0.238	0.196	False	True	IGHV1	NA	NA	3.5000000000000003e-09	-11.535955190950428	ITC	NA	TBD
4x7f	D	NA	0	B	protein	NA	capsid protein	VIRAL PROTEIN	12/09/14	Crystal structure of norovirus GII.10 P domain in complex with Nano-25	NORWALK VIRUS; VICUGNA PACOS	vicugna pacos	NA	norwalk virus	Koromyslova, A.D., Hansman, G.S.	1.7	X-RAY DIFFRACTION	0.187	0.16	False	True	IGHV1	NA	NA	2.8000000000000003e-08	-10.303920013991087	ITC	NA	TBD
4x7f	C	NA	0	A	protein	NA	capsid protein	VIRAL PROTEIN	12/09/14	Crystal structure of norovirus GII.10 P domain in complex with Nano-25	NORWALK VIRUS; VICUGNA PACOS	vicugna pacos	NA	norwalk virus	Koromyslova, A.D., Hansman, G.S.	1.7	X-RAY DIFFRACTION	0.187	0.16	False	True	IGHV1	NA	NA	2.8000000000000003e-08	-10.303920013991087	ITC	NA	TBD
5wt9	H	L	0	G	protein	NA	programmed cell death protein 1	IMMUNE SYSTEM	12/10/16	Complex structure of PD-1 and nivolumab-Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Tan, S., Zhang, H., Chai, Y., Song, H., Tong, Z., Wang, Q., Qi, J., Wong, G., Zhu, X., Liu, W.J., Gao, S., Wang, Z., Shi, Y., Yang, F., Gao, G.F., Yan, J.	2.401	X-RAY DIFFRACTION	0.228	0.187	False	True	IGHV3	IGKV3	Kappa	1.45e-09	-12.058051461423284	SPR	NA	TBD
2j6e	I	M	0	B	protein	NA	ig gamma-1 chain c region	IMMUNE SYSTEM	09/28/06	Crystal Structure of an Autoimmune Complex between a Human IgM  Rheumatoid Factor and IgG1 Fc reveals a Novel Fc Epitope and Evidence  for Affinity Maturation	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Duquerroy, S., Stura, E.A., Bressanelli, S., Browne, H., Beale, D., Hamon, M., Casali, P., Vaney, M.-C., Rey, F.A., Sutton, B.J., Taussig, M.J.	3.0	X-RAY DIFFRACTION	0.2877	0.2234	False	True	IGHV4	IGLV1	Lambda	6e-07	-8.488120381868695	Unknown	NA	TBD
2j6e	H	L	0	A	protein	NA	ig gamma-1 chain c region	IMMUNE SYSTEM	09/28/06	Crystal Structure of an Autoimmune Complex between a Human IgM  Rheumatoid Factor and IgG1 Fc reveals a Novel Fc Epitope and Evidence  for Affinity Maturation	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Duquerroy, S., Stura, E.A., Bressanelli, S., Browne, H., Beale, D., Hamon, M., Casali, P., Vaney, M.-C., Rey, F.A., Sutton, B.J., Taussig, M.J.	3.0	X-RAY DIFFRACTION	0.2877	0.2234	False	True	IGHV4	IGLV1	Lambda	6e-07	-8.488120381868695	Unknown	NA	TBD
5t5b	A	B	0	O	protein	NA	10e8 epitope scaffold t117v2	IMMUNE SYSTEM	08/30/16	CRYSTAL STRUCTURE OF THE COMPLEX OF 10E8 FAB LIGHT CHAIN MUTANT5 AND T117V2 HIV-1 MPER SCAFFOLD	SYNTHETIC CONSTRUCT; HOMO SAPIENS	homo sapiens	homo sapiens	synthetic construct	Irimia, A., Wilson, I.A.	2.07	X-RAY DIFFRACTION	0.21600000000000005	0.17800000000000002	False	True	IGHV3	IGLV3	Lambda	1.2300000000000001e-10	-13.519788377213574	SPR	NA	TBD
5t5b	H	L	0	E	protein	NA	10e8 epitope scaffold t117v2	IMMUNE SYSTEM	08/30/16	CRYSTAL STRUCTURE OF THE COMPLEX OF 10E8 FAB LIGHT CHAIN MUTANT5 AND T117V2 HIV-1 MPER SCAFFOLD	SYNTHETIC CONSTRUCT; HOMO SAPIENS	homo sapiens	homo sapiens	synthetic construct	Irimia, A., Wilson, I.A.	2.07	X-RAY DIFFRACTION	0.21600000000000005	0.17800000000000002	False	True	IGHV3	IGLV3	Lambda	1.2300000000000001e-10	-13.519788377213574	SPR	NA	TBD
5t5f	H	L	0	A	protein	NA	factor h binding protein variant b24	PROTEIN BINDING	08/30/16	Neisseria meningitidis factor H binding protein in complex with monoclonal antibody JAR5	NEISSERIA MENINGITIDIS; MUS MUSCULUS	mus musculus	mus musculus	neisseria meningitidis	Malito, E.	2.98	X-RAY DIFFRACTION	0.273	0.223	False	False	IGHV1	IGKV2	Kappa	1.9000000000000002e-10	-13.26215294160082	SPR	NA	TBD
2ny2	D	C	0	A	protein	NA	envelope glycoprotein gp120	VIRAL PROTEIN/IMMUNE SYSTEM	11/20/06	HIV-1 gp120 Envelope Glycoprotein (T123C, T257S, S334A, S375W, G431C) Complexed with CD4 and Antibody 17b	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Xu, L., Dey, B., Hessell, A.J., Van Ryk, D., Xiang, S.H., Yang, X., Zhang, M.Y., Zwick, M.B., Arthos, J., Burton, D.R., Dimitrov, D.S., Sodroski, J., Wyatt, R., Nabel, G.J., Kwong, P.D.	2.0	X-RAY DIFFRACTION	0.223	0.19399999999999998	False	True	IGHV1	IGKV3	Kappa	1.23e-07	NA	SPR	NA	17301785
3k2u	H	L	0	A	protein	NA	hepatocyte growth factor activator long chain	HYDROLASE/IMMUNE SYSTEM	09/30/09	Crystal structure of HGFA in complex with the allosteric inhibitory antibody Fab40	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Ganesan, R., Eigenbrot, C., Shia, S.	2.35	X-RAY DIFFRACTION	0.29	0.239	False	True	IGHV3	IGKV1	Kappa	1.60e-10	-13.36	SPR	25	20004165
5cd5	C	D	0	A	protein	NA	93th057 hiv-1 gp120 core	IMMUNE SYSTEM	07/03/15	Crystal structure of an immature VRC01-class antibody DRVIA7 from a Chinese donor bound to clade A/E HIV-1 gp120 core	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kong, L., Wilson, I.A.	3.3960000000000004	X-RAY DIFFRACTION	0.306	0.253	False	True	IGHV1	IGKV1	Kappa	2.89e-07	-8.920931468069222	SPR	NA	TBD
4py8	I	J	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/26/14	Crystal structure of Fab 3.1 in complex with the 1918 influenza virus hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Dreyfus, C.	2.91	X-RAY DIFFRACTION	0.242	0.193	False	True	IGHV3	IGKV1	Kappa	1e-09	-12.27819680469229	SPR	NA	TBD
5ywy	H	L	0	A	protein	NA	prostaglandin e2 receptor ep4 subtype,prostaglandin e2receptor ep4 subtype 	SIGNALING PROTEIN-IMMUNE SYSTEM	11/30/17	Crystal structure of the clinically important GPCR in complex with functional antibody.	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Toyoda, Y., Morimoto, K., Suno, R., Horita, S., Iwata, S., Kobayashi, T.	3.2	X-RAY DIFFRACTION	0.252	0.222	False	True	IGHV1	IGKV14	Kappa	5.9000000000000006e-08	-9.862322414589235	Unknown	NA	TBD
3uyp	A	A	0	B	protein	NA	envelope protein	IMMUNE SYSTEM	12/06/11	Crystal structure of the dengue virus serotype 4 envelope protein domain III in complex with the variable domains of Mab 4E11	MUS MUSCULUS; DENGUE VIRUS 4	mus musculus	NA	dengue virus 4	Cockburn, J.J.B., Navarro Sanchez, M.E., Fretes, N., Urvoas, A., Staropoli, I., Kikuti, C.M., Coffey, L.L., Arenzana Seisdedos, F., Bedouelle, H., Rey, F.A.	2.0	X-RAY DIFFRACTION	0.201	0.18100000000000002	True	True	unknown	unknown	unknown	4.1e-06	-7.349477781845606	ELISA	NA	TBD
4od2	B	A	0	S	protein	NA	tumor necrosis factor receptor superfamily member 10b	APOPTOSIS/IMMUNE SYSTEM	01/09/14	Crystal structure of the Fab fragment of an anti-DR5 antibody bound to DR5	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Hymowitz, S.G., Compaan, D.	3.2	X-RAY DIFFRACTION	0.305	0.24100000000000002	False	True	IGHV3	IGLV3	Lambda	9.200000000000001e-10	-12.327599047200819	Saturation Analysis	NA	TBD
